STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TAVG,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TOBS,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130903,-9999, , , ,9999,71, , ,7,2400,62, , ,7,2400,67, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130904,-9999, , , ,9999,83, , ,7,2400,63, , ,7,2400,74, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130905,-9999, , , ,9999,74, , ,7,2400,66, , ,7,2400,67, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130906,-9999, , , ,9999,80, , ,7,2400,62, , ,7,2400,74, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130907,-9999, , , ,9999,86, , ,7,2400,69, , ,7,2400,75, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130908,-9999, , , ,9999,75, , ,7,2400,70, , ,7,2400,71, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130909,-9999, , , ,9999,94, , ,7,2400,69, , ,7,2400,84, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130910,-9999, , , ,9999,95, , ,7,2400,80, , ,7,2400,84, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130911,-9999, , , ,9999,84, , ,7,2400,73, , ,7,2400,78, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130912,-9999, , , ,9999,81, , ,7,2400,64, , ,7,2400,64, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130913,-9999, , , ,9999,65, , ,7,2400,56, , ,7,2400,60, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130914,-9999, , , ,9999,71, , ,7,2400,54, , ,7,2400,62, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130915,-9999, , , ,9999,62, , ,7,2400,57, , ,7,2400,62, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130916,-9999, , , ,9999,63, , ,7,2400,57, , ,7,2400,60, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130917,-9999, , , ,9999,67, , ,7,2400,54, , ,7,2400,65, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130918,-9999, , , ,9999,81, , ,7,2400,62, , ,7,2400,69, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130919,-9999, , , ,9999,78, , ,7,2400,68, , ,7,2400,77, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130920,-9999, , , ,9999,77, , ,7,2400,60, , ,7,2400,60, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130921,-9999, , , ,9999,66, , ,7,2400,57, , ,7,2400,58, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130922,-9999, , , ,9999,64, , ,7,2400,56, , ,7,2400,58, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130923,-9999, , , ,9999,65, , ,7,2400,55, , ,7,2400,60, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130924,-9999, , , ,9999,66, , ,7,2400,53, , ,7,2400,64, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130925,-9999, , , ,9999,66, , ,7,2400,60, , ,7,2400,64, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130926,-9999, , , ,9999,68, , ,7,2400,60, , ,7,2400,62, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130927,-9999, , , ,9999,72, , ,7,2400,60, , ,7,2400,66, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130928,-9999, , , ,9999,83, , ,7,2400,59, , ,7,2400,68, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130929,-9999, , , ,9999,69, , ,7,2400,57, , ,7,2400,59, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130930,-9999, , , ,9999,69, , ,7,2400,57, , ,7,2400,65, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131001,-9999, , , ,9999,78, , ,7,2400,62, , ,7,2400,69, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131002,-9999, , , ,9999,77, , ,7,2400,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131003,-9999, , , ,9999,78, , ,7,2400,-9999, , , ,9999,68, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131004,-9999, , , ,9999,74, , ,7,2400,65, , ,7,2400,66, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131005,-9999, , , ,9999,79, , ,7,2400,66, , ,7,2400,67, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131006,-9999, , , ,9999,67, , ,7,2400,48, , ,7,2400,48, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131007,-9999, , , ,9999,68, , ,7,2400,46, , ,7,2400,56, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131008,-9999, , , ,9999,67, , ,7,2400,51, , ,7,2400,61, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131009,-9999, , , ,9999,65, , ,7,2400,54, , ,7,2400,57, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131010,-9999, , , ,9999,66, , ,7,2400,54, , ,7,2400,58, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131011,-9999, , , ,9999,66, , ,7,2400,57, , ,7,2400,64, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131012,-9999, , , ,9999,74, , ,7,2400,59, , ,7,2400,60, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131013,-9999, , , ,9999,61, , ,7,2400,53, , ,7,2400,56, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131014,-9999, , , ,9999,60, , ,7,2400,55, , ,7,2400,56, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131015,-9999, , , ,9999,65, , ,7,2400,53, , ,7,2400,53, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131016,-9999, , , ,9999,54, , ,7,2400,48, , ,7,2400,51, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131017,-9999, , , ,9999,53, , ,7,2400,49, , ,7,2400,49, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131018,-9999, , , ,9999,50, , ,7,2400,44, , ,7,2400,47, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131019,-9999, , , ,9999,54, , ,7,2400,45, , ,7,2400,50, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131020,-9999, , , ,9999,66, , ,7,2400,42, , ,7,2400,53, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20131021,-9999, , , ,9999,56, , ,7,2400,39, , ,7,2400,39, , ,7,2400
